,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp (F),Wind Speed (mph)
542,ML,1561659708,0,4,22.68,-3.98,113.53,8.81
543,ID,1561659708,40,94,-8.71,116.27,68.0,16.15
544,US,1561659709,1,42,46.84,-105.12,82.4,13.87
545,RU,1561659709,87,60,63.79,74.5,50.35,15.66
546,AU,1561659709,16,54,-20.74,116.85,68.71,17.78
547,US,1561659693,1,12,39.76,-105.22,91.0,4.7
548,RU,1561659278,66,83,67.55,63.78,49.63,8.3
549,CL,1561659558,51,81,-22.09,-70.2,58.63,7.09
550,BI,1561659710,58,67,-3.97,29.44,66.55,2.55
551,US,1561659711,1,67,60.55,-151.26,64.0,6.93
